bill,total,for,against
HB641,1,1,0
HB644,1,1,0
HB657,1,1,0
HB660,1,1,0
HR32,1,1,0
HR42,1,1,0
HR102,1,0,1
HR111,1,1,0
HR112,1,1,0
HR123,1,0,1
HR129,1,0,1
HR140,1,1,0
HR147,1,1,0
HR155,1,1,0
HR160,1,0,1
HR173,1,1,0
HR176,1,1,0
HR258,1,1,0
HR260,1,0,1
HR267,1,0,1
HR270,1,1,0
HR273,1,0,1
HR283,1,0,1
HR306,1,0,1
HR328,1,0,1
HR343,1,0,1
HR354,1,0,1
HR359,1,0,1
HR379,1,0,1
HR398,1,1,0
HR417,1,0,1
HR613,1,1,0
HR637,1,0,1
HR803,1,1,0
HR3290,1,1,0
SB1,1,1,0
SB171,1,0,1
SB193,1,1,0
SB194,1,1,0
SB365,1,1,0
SB371,1,0,1
SB375,1,0,1
SB378,1,0,1
SB386,1,1,0
SB395,1,0,1
SB415,1,1,0
SB447,1,0,1
SB479,1,0,1
SB488,1,0,1
HB110,1,0,1
HB119,1,1,0
HB125,1,0,1
HB135,1,1,0
HB286,1,1,0
HB296,1,1,0
HB298,1,1,0
HB301,1,0,1
HB307,1,0,1
HB308,1,0,1
HB309,1,1,0
HB456,1,0,1
HB462,1,1,0
HB466,1,0,1
HB469,1,1,0
HB483,1,1,0
HB485,1,0,1
HB489,1,1,0
HB490,1,0,1
HB491,1,1,0
HB497,1,0,1
HB675,1,0,1
HB679,1,1,0
HB680,1,1,0
HB681,1,1,0
HB687,1,0,1
HB692,1,0,1
HB699,1,1,0
HB706,1,1,0
HB712,1,1,0
HB719,1,0,1
HB767,1,0,1
HB808,1,0,1
HB832,1,1,0
HB841,1,0,1
HB852,1,0,1
HB855,1,0,1
SB6,1,0,1
SB12,1,0,1
SB18,1,1,0
SB23,1,0,1
SB26,1,0,1
SB27,1,1,0
SB28,1,0,1
SB35,1,1,0
SB45,1,1,0
SB47,1,0,1
SB57,1,0,1
SB62,1,1,0
SB216,1,0,1
SB246,1,1,0
SB247,1,0,1
SB262,1,1,0
SB504,1,1,0
SB511,1,1,0
SB525,1,0,1
SB526,1,0,1
SB528,1,0,1
SB542,1,0,1
SB587,1,1,0
SB613,1,1,0
SB629,1,1,0
SB642,1,1,0
SB676,1,0,1
SB679,1,0,1
SB697,1,0,1
SB739,1,0,1
SB914,1,1,0
SB1000,1,0,1
SB1999,1,1,0
SB2792,1,0,1
SB3671,1,0,1
HB148,1,0,1
HB321,1,1,0
HB347,1,1,0
HB348,1,1,0
HB353,1,0,1
HB510,1,1,0
HB517,1,1,0
HB532,1,0,1
HB536,1,0,1
HB537,1,0,1
HB539,1,0,1
HB546,1,1,0
HB548,1,1,0
HB865,1,0,1
HB910,1,0,1
HB915,1,0,1
HB1102,1,0,1
HB1111,1,1,0
HB1123,1,1,0
HB1167,1,0,1
HB1168,1,0,1
HB1513,1,0,1
HB2002,1,0,1
HB2519,1,0,1
HB3021,1,0,1
HB3033,1,0,1
HB3113,1,1,0
HB3281,1,1,0
HB3790,1,0,1
HB4478,1,1,0
HB5717,1,0,1
HB5898,1,0,1
HJ18,1,1,0
HJ25,1,1,0
SB78,1,1,0
SB80,1,0,1
SB90,1,0,1
SB96,1,1,0
SB119,1,1,0
SB120,1,0,1
SB291,1,1,0
SB296,1,1,0
SB311,1,1,0
SJ12,1,0,1
SJ28,1,1,0
SJ102,1,0,1
SJ215,1,0,1
SJ258,1,1,0
SJ259,1,1,0
SJ278,1,0,1
SJ950,1,1,0
SR51,1,0,1
SR81,1,1,0
SR89,1,0,1
SR117,1,1,0
SR287,1,1,0
